VECTOR,OCCURRENCE_ID,SOURCE_TYPE,LOCATION_TYPE,POLYGON_ADMIN,Y,X,YEAR,COUNTRY,COUNTRY_ID,GAUL_AD0,STATUS
Aedes aegypti,33,unpublished,polygon,2,27.49,-81.81,1960,United States of America,USA,259,NA
Aedes aegypti,34,unpublished,polygon,2,27.69,-80.62,1960,United States of America,USA,259,NA
Aedes aegypti,35,unpublished,polygon,2,27.93,-82.31,1960,United States of America,USA,259,NA
Aedes aegypti,36,unpublished,polygon,2,27.95,-81.7,1960,United States of America,USA,259,NA
Aedes aegypti,37,unpublished,polygon,2,28.06,-81.15,1960,United States of America,USA,259,NA
Aedes aegypti,38,unpublished,polygon,2,28.31,-82.39,1960,United States of America,USA,259,NA
Aedes aegypti,39,unpublished,polygon,2,28.51,-81.32,1960,United States of America,USA,259,NA
Aedes aegypti,40,unpublished,polygon,2,29.06,-81.19,1960,United States of America,USA,259,NA
Aedes aegypti,41,unpublished,polygon,2,29.33,-82.74,1960,United States of America,USA,259,NA
Aedes aegypti,42,unpublished,polygon,2,29.46,-81.31,1960,United States of America,USA,259,NA
Aedes aegypti,43,unpublished,polygon,2,29.78,-90.12,1960,United States of America,USA,259,NA
Aedes aegypti,44,unpublished,polygon,2,29.86,-92.32,1960,United States of America,USA,259,NA
Aedes aegypti,45,unpublished,polygon,2,30.33,-82.28,1960,United States of America,USA,259,NA
Aedes aegypti,46,unpublished,polygon,2,32.06,-93.73,1960,United States of America,USA,259,NA
Aedes aegypti,47,unpublished,polygon,2,32.48,-92.15,1960,United States of America,USA,259,NA
Aedes aegypti,48,published,point,-999,24.85,67.01,1961,Pakistan,PAK,188,NA
Aedes aegypti,49,published,point,-999,38.24,27.97,1961,Turkey,TUR,249,NA
Aedes aegypti,50,published,point,-999,6.36,2.44,1962,Benin,BEN,29,NA
Aedes aegypti,51,published,point,-999,6.24,-57.52,1963,Guyana,GUY,107,NA
Aedes aegypti,52,published,point,-999,6.49,-58.27,1963,Guyana,GUY,107,NA
Aedes aegypti,53,published,point,-999,6.53,-58.25,1963,Guyana,GUY,107,NA
Aedes aegypti,54,published,point,-999,6.55,-57.75,1963,Guyana,GUY,107,NA
Aedes aegypti,55,published,point,-999,6.79,-58.15,1963,Guyana,GUY,107,NA
Aedes aegypti,56,published,point,-999,6.8,-58.18,1963,Guyana,GUY,107,NA
Aedes aegypti,57,published,point,-999,6.82,-58.13,1963,Guyana,GUY,107,NA
Aedes aegypti,58,published,point,-999,6.82,-58.23,1963,Guyana,GUY,107,NA
Aedes aegypti,59,published,point,-999,6.92,-58.41,1963,Guyana,GUY,107,NA
Aedes aegypti,60,published,point,-999,6.99,-58.43,1963,Guyana,GUY,107,NA
Aedes aegypti,61,published,point,-999,7,-58.5,1963,Guyana,GUY,107,NA
Aedes aegypti,62,published,point,-999,7.1,-58.49,1963,Guyana,GUY,107,NA
Aedes aegypti,63,published,point,-999,7.45,-58.6,1963,Guyana,GUY,107,NA
Aedes aegypti,64,published,point,-999,17.8,-77.24,1963,Jamaica,JAM,123,NA
Aedes aegypti,65,published,point,-999,17.99,-76.8,1963,Jamaica,JAM,123,NA
Aedes aegypti,66,published,point,-999,13.75,100.52,1964,Thailand,THA,240,NA
Aedes aegypti,67,published,point,-999,18.36,-66.11,1964,Puerto Rico,PRI,200,NA
Aedes aegypti,68,published,point,-999,22.59,88.31,1964,India,IND,115,NA
Aedes aegypti,69,published,point,-999,-20.08,146.26,1965,Australia,AUS,17,NA
Aedes aegypti,70,published,point,-999,-17.54,-149.55,1965,French Polynesia,PYF,87,NA
Aedes aegypti,71,published,point,-999,4.64,9.44,1965,Cameroon,CMR,45,NA
Aedes aegypti,72,published,point,-999,4.64,9.44,1965,Cameroon,CMR,45,NA
Aedes aegypti,73,published,point,-999,5.88,-4.82,1965,C?te d'Ivoire,CIV,66,NA
Aedes aegypti,74,published,point,-999,6.59,3.35,1965,Nigeria,NGA,182,NA
Aedes aegypti,75,published,point,-999,11.56,104.92,1965,Cambodia,KHM,44,NA
Aedes aegypti,76,published,point,-999,13.08,100.06,1965,Thailand,THA,240,NA
Aedes aegypti,77,published,point,-999,13.75,100.52,1965,Thailand,THA,240,NA
Aedes aegypti,78,published,point,-999,13.78,100.58,1965,Thailand,THA,240,NA
Aedes aegypti,79,published,point,-999,17.01,81.79,1965,India,IND,115,NA
Aedes aegypti,80,published,point,-999,-24.88,152.35,1966,Australia,AUS,17,NA
Aedes aegypti,81,published,point,-999,-17.53,146.03,1966,Australia,AUS,17,NA
Aedes aegypti,82,published,point,-999,10.78,106.69,1966,Viet Nam,VNM,1011447,NA
Aedes aegypti,83,published,point,-999,13.78,100.56,1966,Thailand,THA,240,NA
Aedes aegypti,84,published,point,-999,-16.92,145.76,1967,Australia,AUS,17,NA
Aedes aegypti,85,published,point,-999,11.17,78.45,1967,India,IND,115,NA
Aedes aegypti,86,published,point,-999,12.92,79.14,1967,India,IND,115,NA
Aedes aegypti,87,published,point,-999,13.38,99.99,1967,Thailand,THA,240,NA
Aedes aegypti,88,published,point,-999,13.71,100.58,1967,Thailand,THA,240,NA
Aedes aegypti,89,published,point,-999,13.72,100.46,1967,Thailand,THA,240,NA
Aedes aegypti,90,published,point,-999,13.73,100.52,1967,Thailand,THA,240,NA
Aedes aegypti,91,published,point,-999,13.75,100.49,1967,Thailand,THA,240,NA
Aedes aegypti,92,published,point,-999,13.75,100.55,1967,Thailand,THA,240,NA
Aedes aegypti,93,published,point,-999,13.76,100.48,1967,Thailand,THA,240,NA
Aedes aegypti,94,published,point,-999,13.77,100.5,1967,Thailand,THA,240,NA
Aedes aegypti,95,published,point,-999,13.77,100.53,1967,Thailand,THA,240,NA
Aedes aegypti,96,published,point,-999,13.78,100.58,1967,Thailand,THA,240,NA
Aedes aegypti,97,published,point,-999,13.81,100.52,1967,Thailand,THA,240,NA
Aedes aegypti,98,published,point,-999,14.45,-16.28,1967,Senegal,SEN,217,NA
Aedes aegypti,99,published,point,-999,15.14,76.92,1967,India,IND,115,NA
Aedes aegypti,100,published,point,-999,17.01,81.79,1967,India,IND,115,NA
Aedes aegypti,101,published,point,-999,24.55,-81.78,1967,United States of America,USA,259,NA
Aedes aegypti,102,published,point,-999,25.31,83.01,1967,India,IND,115,NA
Aedes aegypti,103,published,point,-999,27.51,-99.49,1967,United States of America,USA,259,NA
Aedes aegypti,104,published,point,-999,27.96,-82.46,1967,United States of America,USA,259,NA
Aedes aegypti,105,published,point,-999,28.56,-81.37,1967,United States of America,USA,259,NA
Aedes aegypti,106,published,point,-999,29.66,-82.34,1967,United States of America,USA,259,NA
Aedes aegypti,107,published,point,-999,29.75,-95.35,1967,United States of America,USA,259,NA
Aedes aegypti,108,published,point,-999,29.88,-97.95,1967,United States of America,USA,259,NA
Aedes aegypti,109,published,point,-999,30.69,-88.05,1967,United States of America,USA,259,NA
Aedes aegypti,110,published,point,-999,31.21,-82.37,1967,United States of America,USA,259,NA
Aedes aegypti,111,published,point,-999,31.55,-97.14,1967,United States of America,USA,259,NA
Aedes aegypti,112,published,point,-999,31.76,-95.63,1967,United States of America,USA,259,NA
Aedes aegypti,113,published,point,-999,32.37,-88.71,1967,United States of America,USA,259,NA
Aedes aegypti,114,published,point,-999,32.38,-88.71,1967,United States of America,USA,259,NA
Aedes aegypti,115,published,point,-999,33.22,-87.58,1967,United States of America,USA,259,NA
Aedes aegypti,116,published,point,-999,33.47,-81.99,1967,United States of America,USA,259,NA
Aedes aegypti,117,published,point,-999,34,-81.04,1967,United States of America,USA,259,NA
Aedes aegypti,118,published,point,-999,34.19,-79.78,1967,United States of America,USA,259,NA
Aedes aegypti,119,published,point,-999,34.85,-82.41,1967,United States of America,USA,259,NA
Aedes aegypti,120,published,point,-999,34.95,-81.93,1967,United States of America,USA,259,NA
Aedes aegypti,121,unpublished,NA,NA,-8.52,140.42,1968,Indonesia,IDN,1013696,NA
Aedes aegypti,122,unpublished,NA,NA,-8.48,140.39,1968,Indonesia,IDN,1013696,NA
Aedes aegypti,123,published,point,-999,-6.75,39.28,1968,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,124,unpublished,NA,NA,-2.57,140.51,1968,Indonesia,IDN,1013696,NA
Aedes aegypti,125,unpublished,NA,NA,-1.19,136.11,1968,Indonesia,IDN,1013696,NA
Aedes aegypti,126,unpublished,NA,NA,-1.18,136.08,1968,Indonesia,IDN,1013696,NA
Aedes aegypti,127,unpublished,NA,NA,-0.89,134.05,1968,Indonesia,IDN,1013696,NA
Aedes aegypti,128,unpublished,NA,NA,-0.89,131.29,1968,Indonesia,IDN,1013696,NA
Aedes aegypti,129,published,point,-999,1.28,103.84,1968,Singapore,SGP,222,NA
Aedes aegypti,130,published,point,-999,1.28,103.83,1968,Singapore,SGP,222,NA
Aedes aegypti,131,published,point,-999,1.28,103.83,1968,Singapore,SGP,222,NA
Aedes aegypti,132,published,point,-999,1.28,103.85,1968,Singapore,SGP,222,NA
Aedes aegypti,133,published,point,-999,1.29,103.82,1968,Singapore,SGP,222,NA
Aedes aegypti,134,published,point,-999,1.3,103.86,1968,Singapore,SGP,222,NA
Aedes aegypti,135,published,point,-999,1.32,103.88,1968,Singapore,SGP,222,NA
Aedes aegypti,136,published,point,-999,1.32,103.86,1968,Singapore,SGP,222,NA
Aedes aegypti,137,published,point,-999,1.33,103.9,1968,Singapore,SGP,222,NA
Aedes aegypti,138,published,point,-999,1.33,103.93,1968,Singapore,SGP,222,NA
Aedes aegypti,139,published,polygon,NA,7.41,3.9,1968,Nigeria,NGA,182,NA
Aedes aegypti,140,published,point,-999,13.77,100.5,1968,Thailand,THA,240,NA
Aedes aegypti,141,published,point,-999,13.93,100.59,1968,Thailand,THA,240,NA
Aedes aegypti,142,published,point,-999,15.71,100.14,1968,Thailand,THA,240,NA
Aedes aegypti,143,published,point,-999,18.17,-65.96,1968,Puerto Rico,PRI,200,NA
Aedes aegypti,144,published,point,-999,18.21,-67.14,1968,Puerto Rico,PRI,200,NA
Aedes aegypti,145,published,point,-999,18.3,-66.25,1968,Puerto Rico,PRI,200,NA
Aedes aegypti,146,published,point,-999,18.33,-66.41,1968,Puerto Rico,PRI,200,NA
Aedes aegypti,147,published,point,-999,18.35,-66.32,1968,Puerto Rico,PRI,200,NA
Aedes aegypti,148,published,point,-999,25.48,-80.49,1968,United States of America,USA,259,NA
Aedes aegypti,149,published,point,-999,25.83,-80.22,1968,United States of America,USA,259,NA
Aedes aegypti,150,published,point,-999,26.35,-80.09,1968,United States of America,USA,259,NA
Aedes aegypti,151,published,point,-999,26.71,-78.16,1968,Bahamas,BHS,20,NA
Aedes aegypti,152,published,point,-999,27.19,-80.25,1968,United States of America,USA,259,NA
Aedes aegypti,153,published,point,-999,27.77,-97.41,1968,United States of America,USA,259,NA
Aedes aegypti,154,published,point,-999,28.03,-97.5,1968,United States of America,USA,259,NA
Aedes aegypti,155,published,point,-999,28.55,-81.77,1968,United States of America,USA,259,NA
Aedes aegypti,156,published,point,-999,28.59,-81.35,1968,United States of America,USA,259,NA
Aedes aegypti,157,published,point,-999,28.79,-81.28,1968,United States of America,USA,259,NA
Aedes aegypti,158,published,point,-999,28.81,-81.88,1968,United States of America,USA,259,NA
Aedes aegypti,159,published,point,-999,29.03,-81.31,1968,United States of America,USA,259,NA
Aedes aegypti,160,published,point,-999,29.06,-82.46,1968,United States of America,USA,259,NA
Aedes aegypti,161,published,point,-999,29.19,-82.14,1968,United States of America,USA,259,NA
Aedes aegypti,162,published,point,-999,29.21,-81.03,1968,United States of America,USA,259,NA
Aedes aegypti,163,published,point,-999,29.42,-98.5,1968,United States of America,USA,259,NA
Aedes aegypti,164,published,point,-999,29.42,-98.5,1968,United States of America,USA,259,NA
Aedes aegypti,165,published,point,-999,29.57,-97.97,1968,United States of America,USA,259,NA
Aedes aegypti,166,published,point,-999,29.65,-81.65,1968,United States of America,USA,259,NA
Aedes aegypti,167,published,point,-999,29.75,-95.35,1968,United States of America,USA,259,NA
Aedes aegypti,168,published,point,-999,29.9,-81.32,1968,United States of America,USA,259,NA
Aedes aegypti,169,published,point,-999,29.95,-82.11,1968,United States of America,USA,259,NA
Aedes aegypti,170,published,point,-999,30,-81.69,1968,United States of America,USA,259,NA
Aedes aegypti,171,published,point,-999,30.29,-81.4,1968,United States of America,USA,259,NA
Aedes aegypti,172,published,point,-999,30.34,-95.09,1968,United States of America,USA,259,NA
Aedes aegypti,173,published,point,-999,30.42,-87.23,1968,United States of America,USA,259,NA
Aedes aegypti,174,published,point,-999,30.48,-90.11,1968,United States of America,USA,259,NA
Aedes aegypti,175,published,point,-999,30.63,-87.05,1968,United States of America,USA,259,NA
Aedes aegypti,176,published,point,-999,30.68,-81.45,1968,United States of America,USA,259,NA
Aedes aegypti,177,published,point,-999,30.85,-96.98,1968,United States of America,USA,259,NA
Aedes aegypti,178,published,point,-999,31.09,-97.36,1968,United States of America,USA,259,NA
Aedes aegypti,179,published,point,-999,31.33,-94.73,1968,United States of America,USA,259,NA
Aedes aegypti,180,published,point,-999,31.6,-94.66,1968,United States of America,USA,259,NA
Aedes aegypti,181,published,point,-999,31.76,-95.63,1968,United States of America,USA,259,NA
Aedes aegypti,182,published,point,-999,31.79,-95.15,1968,United States of America,USA,259,NA
Aedes aegypti,183,published,point,-999,31.86,-81.63,1968,United States of America,USA,259,NA
Aedes aegypti,184,published,point,-999,32.32,-90.89,1968,United States of America,USA,259,NA
Aedes aegypti,185,published,point,-999,32.37,-88.71,1968,United States of America,USA,259,NA
Aedes aegypti,186,published,point,-999,32.48,-93.77,1968,United States of America,USA,259,NA
Aedes aegypti,187,published,point,-999,32.49,-94.07,1968,United States of America,USA,259,NA
Aedes aegypti,188,published,point,-999,32.75,-97.33,1968,United States of America,USA,259,NA
Aedes aegypti,189,published,point,-999,-21.05,31.67,1969,Zimbabwe,ZWE,271,NA
Aedes aegypti,190,published,point,-999,-5.07,39.1,1969,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,191,published,point,-999,1.28,103.82,1969,Singapore,SGP,222,NA
Aedes aegypti,192,published,point,-999,1.31,103.89,1969,Singapore,SGP,222,NA
Aedes aegypti,193,published,point,-999,1.31,103.85,1969,Singapore,SGP,222,NA
Aedes aegypti,194,published,point,-999,1.32,103.85,1969,Singapore,SGP,222,NA
Aedes aegypti,195,published,point,-999,6.32,0.09,1969,Ghana,GHA,94,NA
Aedes aegypti,196,published,point,-999,6.48,2.63,1969,Benin,BEN,29,NA
Aedes aegypti,197,published,point,-999,9.43,100.01,1969,Thailand,THA,240,NA
Aedes aegypti,198,published,point,-999,9.45,99.94,1969,Thailand,THA,240,NA
Aedes aegypti,199,published,point,-999,9.48,99.97,1969,Thailand,THA,240,NA
Aedes aegypti,200,published,point,-999,9.5,99.93,1969,Thailand,THA,240,NA
Aedes aegypti,201,published,point,-999,9.57,100,1969,Thailand,THA,240,NA
Aedes aegypti,202,published,point,-999,10.31,123.9,1969,Philippines,PHL,196,NA
Aedes aegypti,203,published,point,-999,11.62,-2.75,1969,Burkina Faso,BFA,42,NA
Aedes aegypti,204,published,point,-999,12.77,79.78,1969,India,IND,115,NA
Aedes aegypti,205,published,point,-999,12.9,79.33,1969,India,IND,115,NA
Aedes aegypti,206,published,point,-999,12.92,79.14,1969,India,IND,115,NA
Aedes aegypti,207,published,point,-999,12.93,79.33,1969,India,IND,115,NA
Aedes aegypti,208,published,point,-999,12.98,-3.15,1969,Burkina Faso,BFA,42,NA
Aedes aegypti,209,published,point,-999,13.08,80.27,1969,India,IND,115,NA
Aedes aegypti,210,published,point,-999,13.21,79.11,1969,India,IND,115,NA
Aedes aegypti,211,published,point,-999,13.75,100.52,1969,Thailand,THA,240,NA
Aedes aegypti,212,published,point,-999,13.75,100.5,1969,Thailand,THA,240,NA
Aedes aegypti,213,published,point,-999,13.75,100.53,1969,Thailand,THA,240,NA
Aedes aegypti,214,published,point,-999,13.78,100.57,1969,Thailand,THA,240,NA
Aedes aegypti,215,published,point,-999,13.78,100.62,1969,Thailand,THA,240,NA
Aedes aegypti,216,published,point,-999,13.88,100.59,1969,Thailand,THA,240,NA
Aedes aegypti,217,published,point,-999,16.78,96.11,1969,Myanmar,MMR,1011440,NA
Aedes aegypti,218,published,point,-999,17.97,-66.91,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,219,published,point,-999,17.97,-66.06,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,220,published,point,-999,17.98,-66.11,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,221,published,point,-999,18.01,-66.02,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,222,published,point,-999,18.02,-66.62,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,223,published,point,-999,18.08,-66.36,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,224,published,point,-999,18.16,-65.83,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,225,published,point,-999,18.18,-65.87,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,226,published,point,-999,18.21,-67.14,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,227,published,point,-999,18.23,-65.92,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,228,published,point,-999,18.24,-66.04,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,229,published,point,-999,18.27,-65.65,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,230,published,point,-999,18.27,-66.7,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,231,published,point,-999,18.3,-66.88,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,232,published,point,-999,18.33,-65.66,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,233,published,point,-999,18.35,-66.32,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,234,published,point,-999,18.36,-66.11,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,235,published,point,-999,18.38,-65.96,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,236,published,point,-999,18.4,-66.04,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,237,published,point,-999,18.43,-65.88,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,238,published,point,-999,18.43,-67.15,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,239,published,point,-999,18.44,-66.49,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,240,published,point,-999,18.45,-66.06,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,241,published,point,-999,18.46,-66.55,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,242,published,point,-999,18.47,-66.94,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,243,published,point,-999,18.48,-66.73,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,244,published,point,-999,18.49,-66.83,1969,Puerto Rico,PRI,200,NA
Aedes aegypti,245,published,point,-999,25.62,-80.35,1969,United States of America,USA,259,NA
Aedes aegypti,246,published,point,-999,31.33,-85.7,1969,United States of America,USA,259,NA
Aedes aegypti,247,published,point,-999,32.01,-81.15,1969,United States of America,USA,259,NA
Aedes aegypti,248,published,point,-999,32.32,-89.03,1969,United States of America,USA,259,NA
Aedes aegypti,249,published,point,-999,32.32,-89.02,1969,United States of America,USA,259,NA
Aedes aegypti,250,published,point,-999,32.33,-88.93,1969,United States of America,USA,259,NA
Aedes aegypti,251,published,point,-999,32.37,-84.96,1969,United States of America,USA,259,NA
Aedes aegypti,252,published,point,-999,32.37,-88.71,1969,United States of America,USA,259,NA
Aedes aegypti,253,published,point,-999,33.42,-82.16,1969,United States of America,USA,259,NA
Aedes aegypti,254,published,point,-999,33.71,-84.43,1969,United States of America,USA,259,NA
Aedes aegypti,255,published,point,-999,33.72,-85.78,1969,United States of America,USA,259,NA
Aedes aegypti,256,published,point,-999,34.05,-80.78,1969,United States of America,USA,259,NA
Aedes aegypti,257,unpublished,NA,NA,-6.21,106.84,1972,Indonesia,IDN,1013696,NA
Aedes aegypti,258,unpublished,NA,NA,-6.18,106.85,1972,Indonesia,IDN,1013696,NA
Aedes aegypti,259,unpublished,NA,NA,-6.16,106.79,1972,Indonesia,IDN,1013696,NA
Aedes aegypti,260,unpublished,NA,NA,-6.15,106.83,1972,Indonesia,IDN,1013696,NA
Aedes aegypti,261,published,point,-999,-10.95,39.27,1970,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,262,published,point,-999,-8.97,36.3,1970,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,263,published,point,-999,-8.97,36.3,1970,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,264,published,point,-999,-6.82,39.28,1970,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,265,published,point,-999,-6.69,39.27,1970,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,266,published,point,-999,-6.65,39.25,1970,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,267,published,point,-999,-6.18,35.74,1970,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,268,published,point,-999,-6.18,106.83,1970,Indonesia,IDN,1013696,NA
Aedes aegypti,269,published,point,-999,-5.17,38.78,1970,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,270,published,point,-999,-5.1,38.63,1970,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,271,published,point,-999,-3.04,40.14,1970,Kenya,KEN,133,NA
Aedes aegypti,272,published,point,-999,1.55,110.34,1970,Malaysia,MYS,153,NA
Aedes aegypti,273,published,point,-999,4.25,117.88,1970,Malaysia,MYS,153,NA
Aedes aegypti,274,published,point,-999,4.4,113.98,1970,Malaysia,MYS,153,NA
Aedes aegypti,275,published,point,-999,4.47,118.6,1970,Malaysia,MYS,153,NA
Aedes aegypti,276,published,point,-999,5,118,1970,Malaysia,MYS,153,NA
Aedes aegypti,277,published,point,-999,5.22,115.6,1970,Malaysia,MYS,153,NA
Aedes aegypti,278,published,point,-999,5.28,115.25,1970,Malaysia,MYS,153,NA
Aedes aegypti,279,published,point,-999,5.37,115.23,1970,Malaysia,MYS,153,NA
Aedes aegypti,280,published,point,-999,5.45,119.13,1970,Malaysia,MYS,153,NA
Aedes aegypti,281,published,point,-999,5.57,115.6,1970,Malaysia,MYS,153,NA
Aedes aegypti,282,published,point,-999,5.78,118.15,1970,Malaysia,MYS,153,NA
Aedes aegypti,283,published,point,-999,5.84,118.11,1970,Malaysia,MYS,153,NA
Aedes aegypti,284,published,point,-999,6.65,117.48,1970,Malaysia,MYS,153,NA
Aedes aegypti,285,published,point,-999,6.9,116.84,1970,Malaysia,MYS,153,NA
Aedes aegypti,286,published,point,-999,14.63,121.03,1970,Philippines,PHL,196,NA
Aedes aegypti,287,published,point,-999,18.54,-72.34,1970,Haiti,HTI,108,NA
Aedes aegypti,288,published,point,-999,18.55,-72.33,1970,Haiti,HTI,108,NA
Aedes aegypti,289,published,point,-999,29.21,-82.15,1970,United States of America,USA,259,NA
Aedes aegypti,290,unpublished,NA,NA,-6.22,106.87,1971,Indonesia,IDN,1013696,NA
Aedes aegypti,291,unpublished,NA,NA,-6.19,106.81,1971,Indonesia,IDN,1013696,NA
Aedes aegypti,292,unpublished,NA,NA,-6.16,106.79,1971,Indonesia,IDN,1013696,NA
Aedes aegypti,293,unpublished,NA,NA,-6.14,106.8,1971,Indonesia,IDN,1013696,NA
Aedes aegypti,294,published,point,-999,-8.81,13.23,1971,Angola,AGO,8,NA
Aedes aegypti,295,published,point,-999,-6.9,39.27,1971,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,296,published,point,-999,-6.85,39.28,1971,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,297,published,point,-999,-6.84,39.29,1971,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,298,published,point,-999,-6.83,39.27,1971,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,299,published,point,-999,-6.83,39.25,1971,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,300,published,point,-999,-6.82,39.28,1971,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,301,published,point,-999,-6.82,39.32,1971,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,302,published,point,-999,-6.82,39.25,1971,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,303,published,point,-999,-6.82,39.29,1971,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,304,published,point,-999,-6.81,39.29,1971,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,305,published,point,-999,-6.8,39.25,1971,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,306,published,point,-999,-6.79,39.23,1971,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,307,published,point,-999,-6.78,39.27,1971,United Republic of Tanzania,TZA,257,NA
Aedes aegypti,308,published,point,-999,-6.75,39.28,1971,United Republic of Tanzania,TZA,257,NA
