country,areas,current_zika_transmission
Mexico,Nuevo Leon,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Jalisco,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Oaxaca,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Sinaloa,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Guerrero,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Chiapas,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Veracruz,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Yucatan,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Nayarit,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Tabasco,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Michoacan,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Quintana Roo,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Colima,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Morelos,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Hidalgo,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Tamaulipas,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,San Luis Potosi,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Coahuila,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Puebla,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Campeche,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Sonora,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Aguascalientes,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Baja California Sur,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Zacatecas,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Baja California,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Mexico,Mexico,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Micronesia,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Montserrat,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Nicaragua,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Nigeria,,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Palau,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Panama,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Papua New Guinea,Areas with virus transmission following virus new/re introduction (WHO cat. 1),
Paraguay,Amambay,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Paraguay,Central,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Paraguay,Alto Parana,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Paraguay,Paraguari,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Paraguay,Boqueron,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Paraguay,Caaguazu,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Paraguay,Caazapa,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Paraguay,Canindeyu,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Paraguay,Guaira,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Paraguay,Itapua,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Paraguay,Misiones,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Paraguay,Neembucu,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Paraguay,San Pedro,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Paraguay,Concepcion,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Paraguay,Paraguay,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Paraguay,Cordillera,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Peru,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Philippines,,WHO cat. 2 areas with new documented intense transmission
Puerto Rico,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Saint Barthelemy,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Saint Kitts and Nevis,Areas with virus transmission following virus new/re introduction (WHO cat. 1),
Saint Lucia,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Saint Martin,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Saint Vincent and the Grenadines,Areas with virus transmission following virus new/re introduction (WHO cat. 1),
Samoa,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Senegal,,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Singapore,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Sint Maarten,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Solomon Islands,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Suriname,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Thailand,,Areas with virus transmission following previous virus circulation (WHO cat. 2)
Tonga,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Trinidad and Tobago,Areas with virus transmission following virus new/re introduction (WHO cat. 1),
Turks and Caicos islands,Areas with virus transmission following virus new/re introduction (WHO cat. 1),
Uganda,,Areas with virus transmission following previous virus circulation (WHO cat. 2)
United States of America,Miami-dade,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
United States of America,Broward,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
United States of America,Cameron,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
United States of America,Palm Beach,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
United States of America,United States of America,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
United States Virgin Islands,United States Virgin Islands,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Vanuatu,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Venezuela,,Areas with virus transmission following virus new/re introduction (WHO cat. 1)
Vietnam,,WHO cat. 2 areas with new documented intense transmission
